680.0 KB	564507e8e000-564507f38000 r--p 00000000 08:00 290860                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/target/release/controller
  7.6 MB	564507f38000-5645086de000 r-xp 000aa000 08:00 290860                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/target/release/controller
  1.6 MB	5645086de000-564508878000 r--p 00850000 08:00 290860                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/target/release/controller
484.0 KB	564508879000-5645088f2000 r--p 009ea000 08:00 290860                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/target/release/controller
 16.0 KB	5645088f2000-5645088f6000 rw-p 00a63000 08:00 290860                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/target/release/controller
  4.0 KB	5645088f6000-5645088f7000 rw-p 00000000 00:00 0 
  2.5 MB	564509694000-56450991a000 rw-p 00000000 00:00 0                          [heap]
 12.1 MB	776e8c000000-776e8cc1f000 rw-p 00000000 00:00 0 
 51.9 MB	776e8cc1f000-776e90000000 ---p 00000000 00:00 0 
  2.0 GB	776e9201e000-776f1201e000 ---p 00000000 00:00 0 
  1.1 MB	776f1201e000-776f1213e000 rw-p 00000000 00:00 0 
  6.0 GB	776f1213e000-77709201e000 ---p 00000000 00:00 0 
  4.0 KB	77709201e000-77709201f000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	77709201f000-777092147000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	777092147000-7770922c1000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	7770922c1000-7771122c1000 ---p 00000000 00:00 0 
  1.1 MB	7771122c1000-7771123e1000 rw-p 00000000 00:00 0 
  6.0 GB	7771123e1000-7772922c1000 ---p 00000000 00:00 0 
  4.0 KB	7772922c1000-7772922c2000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	7772922c2000-7772923ea000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.5 MB	7772923ea000-777292564000 r--p 00129000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  2.0 GB	777292564000-777312564000 ---p 00000000 00:00 0 
  1.1 MB	777312564000-777312684000 rw-p 00000000 00:00 0 
  6.0 GB	777312684000-777492564000 ---p 00000000 00:00 0 
  4.0 KB	777492564000-777492565000 r--p 00000000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
  1.2 MB	777492565000-77749268d000 r-xp 00001000 08:00 257022                     /home/tramlot/master/extending-kubernetes-api-in-process-poc/poc/temp/wasm/cache/483ea79d02b9309234716d5fc9aee776cc5eae57adfe88f68e6fc03451b324c3.wasm
